Rank,Country,2019
1,China/Hong Kong,41450
2,Indonesia,12520
3,India,6730
4,Japan,5630
5,Viet Nam,5430
6,USA,4630
7,Republic of Korea,3900
8,Philippines,3850
9,Thailand,3570
10,Brazil,2450
11,Nigeria,1920
12,Russia,1910
13,Nepal,1640
14,Malaysia,1450
15,Mexico,1220
16,Taiwan,830
17,Myanmar,620
18,Saudi Arabia,560
19,UK,420
19,Australia,420
21,Bangladesh,370
22,Cambodia,350
23,Ukraine,340
24,Poland,310
25,Germany,280
25,Egypt,280
25,South Africa,280
28,Kazakhstan,250
28,Guatemala,250
30,Pakistan,200
31,Canada,190
32,Sri Lanka,180
33,Peru,160
34,Uzbekistan,130
35,Singapore,120
35,Turkey,120
37,New Zealand,90
38,Ethiopia,80
39,France,70
40,Czech Republic,60
40,Spain,60
40,Kenya,60
43,Netherlands,50
43,Iran,50
45,Sweden,40
46,Hungary,30
46,Chile,30
48,Italy,20
48,Denmark,20
48,Colombia,20
48,Finland,20
52,Belgium,10
52,Costa Rica,10
52,Argentina,10
52,Switzerland,10
-,Others,720